iter	Passed	Remaining
1298	7151	25880
1299	7157	25877
1300	7162	25869
1301	7168	25865
1302	7174	25862
1303	7180	25857
1304	7185	25849
1305	7192	25850
1306	7198	25846
1307	7203	25841
1308	7209	25834
1309	7214	25827
1310	7219	25821
1311	7224	25813
1312	7229	25807
1313	7235	25803
1314	7240	25797
1315	7246	25790
1316	7251	25785
1317	7256	25776
1318	7261	25768
1319	7267	25767
1320	7273	25764
1321	7279	25759
1322	7285	25754
1323	7290	25749
1324	7296	25743
1325	7302	25739
1326	7306	25731
1327	7311	25722
1328	7317	25717
1329	7322	25711
1330	7327	25705
1331	7333	25699
1332	7338	25694
1333	7344	25688
1334	7350	25683
1335	7355	25676
1336	7359	25667
1337	7364	25660
1338	7370	25655
1339	7376	25653
1340	7381	25646
1341	7386	25638
1342	7393	25636
1343	7399	25633
1344	7404	25626
1345	7409	25618
1346	7414	25610
1347	7418	25603
1348	7423	25595
1349	7429	25589
1350	7435	25586
1351	7440	25578
1352	7445	25570
1353	7449	25561
1354	7454	25553
1355	7459	25548
1356	7464	25541
1357	7470	25534
1358	7475	25528
1359	7480	25522
1360	7486	25518
1361	7492	25515
1362	7499	25512
1363	7504	25505
1364	7509	25499
1365	7515	25494
1366	7520	25489
1367	7526	25482
1368	7532	25479
1369	7537	25474
1370	7543	25470
1371	7550	25470
1372	7555	25463
1373	7560	25455
1374	7565	25446
1375	7570	25441
1376	7575	25434
1377	7581	25429
1378	7587	25424
1379	7592	25419
1380	7597	25409
1381	7602	25404
1382	7609	25403
1383	7614	25396
1384	7618	25387
1385	7625	25383
1386	7630	25378
1387	7636	25373
1388	7641	25368
1389	7647	25363
1390	7653	25358
1391	7660	25357
1392	7664	25348
1393	7670	25343
1394	7675	25337
1395	7680	25331
1396	7685	25322
1397	7690	25316
1398	7696	25311
1399	7701	25305
1400	7706	25297
1401	7712	25292
1402	7718	25289
1403	7723	25284
1404	7729	25279
1405	7735	25273
1406	7740	25268
1407	7747	25267
1408	7753	25262
1409	7758	25256
1410	7763	25248
1411	7768	25241
1412	7773	25235
1413	7778	25229
1414	7784	25223
1415	7790	25219
1416	7795	25213
1417	7800	25207
1418	7806	25200
1419	7811	25193
1420	7818	25193
1421	7825	25192
1422	7829	25184
1423	7834	25176
1424	7840	25170
1425	7845	25165
1426	7851	25160
1427	7856	25152
1428	7861	25146
1429	7866	25140
1430	7871	25134
1431	7877	25128
1432	7883	25124
1433	7888	25119
1434	7894	25113
1435	7899	25107
1436	7906	25104
1437	7911	25100
1438	7916	25091
1439	7922	25086
1440	7927	25079
1441	7932	25072
1442	7936	25064
1443	7941	25057
1444	7946	25048
1445	7950	25039
1446	7956	25035
1447	7961	25027
1448	7966	25019
1449	7972	25016
1450	7977	25010
1451	7983	25006
1452	7988	25000
1453	7994	24993
1454	7999	24988
1455	8005	24984
1456	8011	24980
1457	8016	24974
1458	8022	24969
1459	8027	24963
1460	8033	24956
1461	8038	24951
1462	8044	24946
1463	8048	24938
1464	8054	24933
